,District,Prostitution,Total,VehicleTheft,Year
0,TENDERLOIN,527,12737,371,2003
1,TENDERLOIN,224,12081,327,2004
2,TENDERLOIN,151,12061,361,2005
3,TENDERLOIN,96,11791,133,2006
4,TENDERLOIN,310,14735,100,2007
5,TENDERLOIN,226,16681,102,2008
6,TENDERLOIN,141,16954,82,2009
7,TENDERLOIN,51,13773,95,2010
8,TENDERLOIN,63,12424,86,2011
9,TENDERLOIN,109,11791,61,2012
10,TENDERLOIN,35,12888,116,2013
11,TENDERLOIN,15,11490,137,2014
12,TENDERLOIN,23,10584,112,2015
13,SOUTHERN,18,25692,1426,2003
14,SOUTHERN,25,24551,1552,2004
15,SOUTHERN,31,23086,1491,2005
16,SOUTHERN,25,23325,646,2006
17,SOUTHERN,17,24175,621,2007
18,SOUTHERN,29,24153,594,2008
19,SOUTHERN,20,24409,538,2009
20,SOUTHERN,25,26049,372,2010
21,SOUTHERN,15,24708,418,2011
22,SOUTHERN,25,25890,494,2012
23,SOUTHERN,15,29240,452,2013
24,SOUTHERN,31,28871,575,2014
25,SOUTHERN,96,29709,793,2015
26,CENTRAL,70,13622,1193,2003
27,CENTRAL,163,13799,1398,2004
28,CENTRAL,160,13292,1425,2005
29,CENTRAL,167,13093,583,2006
30,CENTRAL,393,13335,637,2007
31,CENTRAL,305,13566,489,2008
32,CENTRAL,110,13061,434,2009
33,CENTRAL,47,12170,303,2010
34,CENTRAL,22,12757,403,2011
35,CENTRAL,16,14033,490,2012
36,CENTRAL,37,14783,441,2013
37,CENTRAL,166,17342,556,2014
38,CENTRAL,44,18368,549,2015
39,BAYVIEW,11,15739,2121,2003
40,BAYVIEW,18,15943,2185,2004
41,BAYVIEW,16,15108,2308,2005
42,BAYVIEW,12,14242,907,2006
43,BAYVIEW,17,13925,785,2007
44,BAYVIEW,6,14104,804,2008
45,BAYVIEW,10,13617,684,2009
46,BAYVIEW,7,14076,657,2010
47,BAYVIEW,6,13914,679,2011
48,BAYVIEW,7,14505,755,2012
49,BAYVIEW,10,14792,836,2013
50,BAYVIEW,5,13885,952,2014
51,BAYVIEW,6,14353,981,2015
52,MISSION,713,21163,2063,2003
53,MISSION,529,21029,2290,2004
54,MISSION,346,19560,2418,2005
55,MISSION,591,18916,994,2006
56,MISSION,740,18434,830,2007
57,MISSION,707,19721,881,2008
58,MISSION,997,19117,766,2009
59,MISSION,774,18121,572,2010
60,MISSION,657,18237,675,2011
61,MISSION,333,18788,850,2012
62,MISSION,469,21157,812,2013
63,MISSION,162,19443,993,2014
64,MISSION,66,18312,1195,2015
65,NORTHERN,581,18975,1879,2003
66,NORTHERN,551,18750,1904,2004
67,NORTHERN,364,18677,2287,2005
68,NORTHERN,380,18679,836,2006
69,NORTHERN,369,16430,702,2007
70,NORTHERN,352,16080,765,2008
71,NORTHERN,165,15838,610,2009
72,NORTHERN,372,14263,462,2010
73,NORTHERN,324,14655,562,2011
74,NORTHERN,194,16341,707,2012
75,NORTHERN,115,18112,760,2013
76,NORTHERN,40,18412,809,2014
77,NORTHERN,42,19804,942,2015
78,INGLESIDE,5,14008,2319,2003
79,INGLESIDE,2,13995,2853,2004
80,INGLESIDE,8,13273,2748,2005
81,INGLESIDE,6,12654,1223,2006
82,INGLESIDE,5,12797,966,2007
83,INGLESIDE,7,12173,840,2008
84,INGLESIDE,4,12135,865,2009
85,INGLESIDE,3,12351,830,2010
86,INGLESIDE,1,11934,754,2011
87,INGLESIDE,3,12519,1308,2012
88,INGLESIDE,6,13197,1286,2013
89,INGLESIDE,5,12838,1432,2014
90,INGLESIDE,4,13133,1366,2015
91,PARK,2,8219,1207,2003
92,PARK,0,8183,1384,2004
93,PARK,1,8109,1407,2005
94,PARK,0,7885,542,2006
95,PARK,3,7234,429,2007
96,PARK,3,7188,440,2008
97,PARK,1,7554,365,2009
98,PARK,1,6912,303,2010
99,PARK,0,7532,383,2011
100,PARK,0,8769,525,2012
101,PARK,1,9456,377,2013
102,PARK,1,9332,518,2014
103,PARK,1,9221,639,2015
104,RICHMOND,15,7692,1081,2003
105,RICHMOND,4,7758,1533,2004
106,RICHMOND,8,7264,1484,2005
107,RICHMOND,1,6441,500,2006
108,RICHMOND,0,6586,603,2007
109,RICHMOND,6,6875,464,2008
110,RICHMOND,4,6825,316,2009
111,RICHMOND,1,6500,282,2010
112,RICHMOND,0,6662,339,2011
113,RICHMOND,1,7707,488,2012
114,RICHMOND,1,8478,518,2013
115,RICHMOND,2,8020,440,2014
116,RICHMOND,9,8970,561,2015
117,TARAVAL,10,11329,1665,2003
118,TARAVAL,11,12059,2458,2004
119,TARAVAL,18,11756,2265,2005
120,TARAVAL,12,10827,927,2006
121,TARAVAL,19,9988,787,2007
122,TARAVAL,32,10770,674,2008
123,TARAVAL,16,10351,523,2009
124,TARAVAL,18,9310,470,2010
125,TARAVAL,6,9876,463,2011
126,TARAVAL,2,10515,505,2012
127,TARAVAL,3,10709,643,2013
128,TARAVAL,22,10528,701,2014
129,TARAVAL,78,11752,786,2015
